270000.0,13500.0,568,63,F,0,1,0,0
454500.0,21865.5,343,49,F,0,1,0,0
1293502.5,37948.5,796,57,F,0,1,0,0
225000.0,26833.5,737,39,M,1,1,2,0
180000.0,9000.0,428,48,M,0,1,0,0
450000.0,22500.0,782,48,F,0,1,0,0
675000.0,19867.5,739,31,M,1,1,0,0
544491.0,16047.0,629,73,F,0,1,0,0
675000.0,28597.5,132,25,F,1,1,1,1
315000.0,15448.5,501,51,F,0,1,0,0
152820.0,15241.5,42,31,F,0,1,0,0
1215000.0,35653.5,160,68,M,1,1,1,0
436032.0,21339.0,292,59,F,0,1,1,0
288873.0,19435.5,744,49,M,1,1,0,0
166810.5,17644.5,731,41,F,0,0,1,0
472500.0,20016.0,354,44,F,0,1,0,0
284427.0,19138.5,576,34,M,0,1,0,0
270000.0,13500.0,554,68,M,0,1,0,0
1237500.0,61875.0,301,58,M,0,0,0,0
405000.0,20250.0,494,56,F,0,1,0,0
495000.0,14602.5,715,74,F,0,1,0,0
743382.0,54225.0,745,30,M,1,1,0,0
225000.0,24232.5,559,38,M,0,1,2,0
548307.0,40027.5,747,60,M,0,1,0,0
1113840.0,44172.0,126,60,F,0,1,0,0
472500.0,48546.0,556,45,M,1,0,1,0
518562.0,26473.5,378,52,M,1,1,0,0
1125000.0,32895.0,107,48,M,0,1,0,0
481500.0,21339.0,414,32,F,0,1,0,0
1928304.0,79578.0,576,53,F,1,0,0,0
592560.0,32274.0,593,67,F,0,1,0,0
255960.0,16794.0,408,65,F,0,1,1,0
363190.5,20979.0,178,45,M,1,0,0,1
640080.0,29970.0,620,73,F,1,1,0,0
296239.5,21195.0,102,65,F,0,1,0,0
101880.0,10566.0,356,41,F,0,1,0,0
536917.5,29254.5,302,50,F,0,0,1,0
675000.0,23611.5,564,53,F,1,1,0,0
339241.5,15943.5,139,35,M,0,1,0,0
254700.0,14350.5,431,53,F,0,1,0,0
1077061.5,31491.0,200,30,F,0,0,0,0
824823.0,24246.0,691,60,M,0,1,1,0
296280.0,23539.5,626,65,F,1,1,0,0
543915.0,28435.5,210,71,F,0,1,0,0
